node,train_mask,val_mask,test_mask,label,is_anchor
150,1,0,0,0,0
152,0,0,1,0,0
153,0,1,0,0,0
154,1,0,0,0,0
155,1,0,0,0,0
156,1,0,0,0,0
157,1,0,0,0,0
158,1,0,0,0,0
160,1,0,0,0,0
161,1,0,0,0,0
162,1,0,0,0,0
163,1,0,0,0,0
165,1,0,0,0,0
166,0,1,0,0,0
167,1,0,0,0,1
168,0,0,1,0,0
169,0,0,1,0,0
170,1,0,0,0,0
171,1,0,0,0,0
172,1,0,0,0,0
173,1,0,0,0,0
174,1,0,0,0,0
175,1,0,0,0,0
176,0,0,1,0,0
177,1,0,0,0,0
178,1,0,0,0,1
179,0,0,1,0,0
180,0,1,0,0,0
181,1,0,0,0,0
159,1,0,0,0,0
182,0,0,1,0,0
183,1,0,0,0,0
184,1,0,0,0,0
185,1,0,0,0,0
186,1,0,0,0,0
187,1,0,0,0,0
33,0,0,1,0,1
188,1,0,0,0,0
189,0,1,0,0,0
190,0,0,1,0,0
191,1,0,0,0,0
192,1,0,0,0,0
193,1,0,0,0,0
194,1,0,0,0,0
195,0,0,1,0,0
196,0,0,1,0,0
198,1,0,0,0,1
199,1,0,0,0,0
200,0,0,1,0,0
201,0,1,0,0,0
202,0,1,0,0,1
203,1,0,0,0,0
204,1,0,0,1,1
205,1,0,0,0,0
206,1,0,0,0,0
207,0,1,0,0,0
209,1,0,0,0,0
210,1,0,0,0,0
120,1,0,0,0,1
211,0,1,0,0,0
212,0,0,1,0,0
213,1,0,0,0,0
214,1,0,0,0,0
215,1,0,0,0,1
216,1,0,0,0,0
217,1,0,0,0,0
218,0,1,0,0,0
219,1,0,0,0,0
220,0,0,1,0,0
223,1,0,0,0,1
224,1,0,0,0,0
225,0,1,0,0,0
227,0,1,0,0,0
228,1,0,0,0,0
230,1,0,0,0,0
231,0,0,1,0,0
232,0,0,1,0,0
233,0,0,1,0,0
208,1,0,0,0,0
234,1,0,0,0,0
235,1,0,0,0,1
222,1,0,0,0,0
236,1,0,0,0,0
237,1,0,0,0,0
238,1,0,0,0,0
239,1,0,0,0,0
240,1,0,0,0,0
241,0,1,0,0,0
242,0,1,0,0,1
244,1,0,0,0,0
164,0,1,0,0,1
245,1,0,0,0,1
246,1,0,0,0,0
247,1,0,0,0,0
248,0,0,1,0,0
250,0,1,0,0,0
251,0,1,0,0,0
249,1,0,0,0,0
243,1,0,0,0,1
252,1,0,0,0,0
253,0,0,1,0,0
255,0,1,0,0,0
256,0,1,0,0,0
257,1,0,0,0,1
258,1,0,0,0,0
259,1,0,0,0,0
260,1,0,0,0,0
261,0,1,0,0,0
262,0,1,0,0,0
263,0,0,1,0,0
264,1,0,0,0,0
265,0,1,0,0,0
266,1,0,0,0,0
267,0,0,1,0,0
268,0,1,0,0,0
229,0,1,0,0,0
221,0,0,1,0,0
269,1,0,0,0,0
271,1,0,0,0,0
272,0,0,1,0,1
273,1,0,0,0,0
274,1,0,0,0,0
275,0,0,1,0,0
276,0,1,0,0,0
270,1,0,0,0,1
277,1,0,0,0,0
279,1,0,0,0,0
278,1,0,0,0,0
280,0,1,0,0,0
281,1,0,0,0,0
282,0,0,1,0,0
283,0,1,0,0,0
284,0,1,0,0,0
285,1,0,0,0,0
286,1,0,0,0,0
287,0,1,0,0,0
288,0,1,0,0,0
290,1,0,0,0,0
291,1,0,0,0,0
292,1,0,0,0,0
293,0,1,0,0,0
294,0,0,1,0,0
295,0,0,1,0,0
296,0,0,1,0,0
297,1,0,0,0,0
298,0,1,0,0,0
299,1,0,0,0,0
301,0,1,0,0,0
302,0,1,0,0,0
303,1,0,0,0,0
304,1,0,0,0,1
254,0,1,0,0,0
305,1,0,0,0,0
306,0,1,0,0,0
307,0,1,0,0,0
308,0,1,0,0,1
309,1,0,0,0,0
310,1,0,0,1,1
311,0,1,0,0,0
312,1,0,0,0,0
314,0,1,0,0,0
313,0,1,0,0,0
315,1,0,0,0,0
316,1,0,0,0,0
317,0,1,0,0,0
318,0,1,0,0,0
319,1,0,0,0,1
320,1,0,0,0,0
322,1,0,0,0,0
323,0,0,1,0,0
324,1,0,0,0,0
325,1,0,0,0,0
326,0,1,0,0,0
321,1,0,0,0,0
327,1,0,0,0,0
328,1,0,0,0,0
329,1,0,0,0,0
334,1,0,0,0,0
338,1,0,0,0,0
345,1,0,0,0,0
346,1,0,0,0,0
289,1,0,0,0,0
347,1,0,0,0,0
349,1,0,0,0,0
340,1,0,0,0,0
336,1,0,0,0,0
350,1,0,0,0,0
352,1,0,0,0,0
353,1,0,0,0,1
354,0,1,0,0,0
355,0,1,0,0,0
356,1,0,0,0,0
357,0,1,0,0,0
359,1,0,0,0,0
339,1,0,0,0,0
360,0,0,1,0,0
366,1,0,0,0,0
367,1,0,0,0,0
368,0,1,0,0,0
358,1,0,0,0,0
370,1,0,0,0,0
371,1,0,0,0,0
372,1,0,0,0,0
363,0,1,0,0,0
375,0,0,1,0,0
377,1,0,0,0,0
374,0,0,1,0,0
378,1,0,0,0,0
379,1,0,0,0,0
380,1,0,0,0,0
382,1,0,0,0,0
383,0,0,1,0,0
384,0,1,0,0,1
385,1,0,0,0,0
386,1,0,0,0,0
348,1,0,0,0,0
387,0,0,1,0,0
388,0,1,0,0,0
389,0,1,0,0,0
390,0,1,0,0,0
391,1,0,0,0,0
392,1,0,0,0,0
330,1,0,0,0,1
351,1,0,0,0,0
393,1,0,0,0,0
342,1,0,0,0,0
395,1,0,0,0,0
396,0,1,0,0,0
397,0,1,0,0,0
399,1,0,0,0,0
400,1,0,0,0,0
401,1,0,0,0,0
402,1,0,0,0,0
403,0,0,1,0,0
404,1,0,0,0,0
405,0,0,1,0,0
406,1,0,0,0,0
407,0,0,1,0,0
408,0,0,1,0,0
409,1,0,0,0,0
410,0,1,0,0,0
411,1,0,0,0,0
412,0,0,1,0,0
414,1,0,0,0,0
415,1,0,0,0,1
418,1,0,0,0,0
300,0,0,1,0,0
421,0,0,1,0,0
423,0,0,1,1,1
333,0,0,1,0,0
341,1,0,0,0,0
427,1,0,0,0,0
428,1,0,0,0,0
429,0,0,1,0,0
332,0,1,0,0,0
394,0,1,0,0,0
430,1,0,0,0,0
432,1,0,0,0,0
433,0,0,1,0,0
434,1,0,0,0,0
435,1,0,0,0,0
436,0,1,0,0,0
437,1,0,0,0,0
438,1,0,0,0,0
439,1,0,0,0,0
441,1,0,0,0,0
442,0,0,1,0,0
443,0,0,1,0,0
440,1,0,0,0,0
444,1,0,0,0,0
445,0,0,1,0,0
446,1,0,0,0,0
365,1,0,0,0,0
448,1,0,0,0,0
449,0,0,1,0,0
431,1,0,0,0,0
450,1,0,0,0,0
451,0,1,0,0,0
452,0,0,1,0,0
453,0,0,1,0,0
454,1,0,0,0,0
455,1,0,0,0,0
456,1,0,0,0,0
457,0,1,0,0,0
416,1,0,0,0,0
458,0,0,1,0,0
459,1,0,0,0,0
460,0,1,0,0,0
464,0,1,0,0,0
465,1,0,0,0,0
466,0,0,1,0,0
467,1,0,0,0,0
468,1,0,0,0,0
463,0,1,0,0,0
469,1,0,0,0,0
462,0,1,0,0,0
470,1,0,0,0,0
471,0,1,0,0,0
472,1,0,0,0,0
473,1,0,0,0,0
369,1,0,0,0,0
425,1,0,0,0,1
417,1,0,0,0,1
475,1,0,0,0,0
476,1,0,0,0,0
197,0,1,0,0,1
477,1,0,0,0,0
478,1,0,0,0,0
424,1,0,0,0,0
479,1,0,0,0,0
376,1,0,0,0,0
373,0,1,0,0,0
420,1,0,0,0,0
480,1,0,0,0,0
398,1,0,0,0,0
481,1,0,0,0,0
482,1,0,0,0,0
483,1,0,0,0,0
484,1,0,0,0,0
485,1,0,0,0,0
486,1,0,0,0,0
487,1,0,0,0,0
488,0,1,0,0,0
489,1,0,0,0,0
490,1,0,0,0,1
492,1,0,0,0,0
493,1,0,0,0,0
494,0,0,1,0,0
447,1,0,0,0,0
495,1,0,0,0,0
496,1,0,0,0,0
497,1,0,0,0,0
499,1,0,0,0,0
500,1,0,0,0,0
501,1,0,0,0,0
502,1,0,0,0,0
491,0,1,0,0,0
503,1,0,0,0,0
504,1,0,0,0,0
505,1,0,0,0,0
506,1,0,0,0,0
498,1,0,0,0,0
507,1,0,0,0,0
331,0,1,0,0,0
508,1,0,0,0,0
509,1,0,0,0,0
510,0,0,1,0,0
511,1,0,0,0,0
512,1,0,0,0,0
513,0,0,1,0,0
514,1,0,0,0,0
515,0,0,1,0,0
516,1,0,0,0,0
517,1,0,0,0,0
422,1,0,0,0,0
518,1,0,0,0,0
337,0,0,1,0,0
519,1,0,0,0,0
520,0,0,1,0,0
381,1,0,0,0,0
521,1,0,0,0,0
362,0,0,1,0,0
522,1,0,0,0,0
523,1,0,0,0,0
524,1,0,0,0,0
364,1,0,0,0,0
413,0,0,1,0,0
525,0,0,1,0,0
361,0,1,0,0,0
526,1,0,0,0,0
527,1,0,0,0,0
529,0,0,1,0,0
530,1,0,0,0,0
531,1,0,0,0,0
532,1,0,0,0,0
533,0,0,1,0,0
534,1,0,0,0,1
535,1,0,0,0,0
536,1,0,0,0,0
537,1,0,0,0,1
538,1,0,0,0,0
539,1,0,0,0,0
540,1,0,0,0,0
541,1,0,0,0,0
419,0,0,1,0,0
542,0,0,1,0,0
335,0,1,0,0,0
543,1,0,0,0,0
544,0,0,1,0,0
545,0,0,1,0,0
546,0,0,1,0,0
547,1,0,0,0,0
548,1,0,0,0,0
549,0,0,1,0,0
426,0,1,0,0,0
550,1,0,0,0,0
552,1,0,0,0,0
553,1,0,0,0,0
554,1,0,0,0,0
555,1,0,0,0,0
556,0,1,0,0,0
557,1,0,0,0,0
558,1,0,0,0,0
559,1,0,0,0,0
560,1,0,0,0,0
561,1,0,0,0,0
562,0,0,1,0,0
563,1,0,0,0,0
564,0,1,0,0,0
565,1,0,0,0,0
566,0,0,1,0,0
551,1,0,0,0,0
567,1,0,0,0,0
569,1,0,0,0,0
570,0,1,0,0,0
571,1,0,0,0,0
572,1,0,0,0,0
573,0,0,1,0,0
575,0,1,0,0,0
474,1,0,0,0,0
577,0,0,1,0,0
578,0,0,1,0,0
528,1,0,0,0,0
580,0,1,0,0,0
581,1,0,0,0,0
582,1,0,0,0,0
583,1,0,0,0,0
584,0,1,0,0,0
585,1,0,0,0,0
586,1,0,0,0,0
587,1,0,0,0,0
589,1,0,0,0,0
590,0,0,1,0,0
592,1,0,0,0,0
579,0,0,1,0,0
343,1,0,0,0,0
594,0,1,0,1,1
595,0,1,0,0,0
596,1,0,0,0,0
597,0,1,0,0,0
588,0,1,0,0,0
598,1,0,0,0,0
599,1,0,0,0,0
600,0,1,0,0,0
601,1,0,0,0,0
602,1,0,0,0,0
603,1,0,0,0,0
604,1,0,0,0,0
591,0,1,0,0,0
605,1,0,0,0,0
606,1,0,0,0,0
607,1,0,0,0,0
608,1,0,0,0,0
609,0,0,1,0,0
610,0,1,0,0,0
611,1,0,0,0,0
612,0,1,0,0,0
613,0,1,0,0,0
614,0,1,0,0,0
615,0,1,0,0,0
617,1,0,0,0,0
618,1,0,0,0,0
619,1,0,0,0,0
620,1,0,0,0,0
621,0,1,0,0,0
622,1,0,0,0,0
623,1,0,0,0,0
616,0,1,0,0,0
593,0,0,1,0,0
624,1,0,0,0,0
625,0,1,0,0,0
626,1,0,0,0,0
628,1,0,0,0,0
629,0,0,1,0,0
630,1,0,0,0,0
631,1,0,0,0,0
627,1,0,0,0,0
632,0,1,0,0,0
633,1,0,0,0,0
634,1,0,0,0,0
635,1,0,0,0,0
636,1,0,0,0,0
637,1,0,0,0,0
638,1,0,0,0,0
639,1,0,0,0,0
344,0,0,1,0,0
642,1,0,0,0,0
643,1,0,0,0,0
644,0,1,0,0,0
647,0,0,1,0,0
648,1,0,0,0,0
649,1,0,0,0,0
650,1,0,0,0,0
651,1,0,0,0,0
652,1,0,0,0,0
653,0,1,0,0,0
654,1,0,0,0,0
655,0,0,1,0,0
656,1,0,0,0,0
658,1,0,0,0,0
660,1,0,0,0,0
661,1,0,0,0,0
662,1,0,0,0,0
663,1,0,0,0,0
664,1,0,0,0,0
574,0,0,1,0,0
659,0,1,0,0,0
665,1,0,0,0,0
666,1,0,0,0,0
667,1,0,0,0,0
668,0,1,0,0,0
670,0,0,1,0,0
671,0,1,0,0,0
672,0,1,0,1,1
674,1,0,0,0,0
675,0,0,1,0,0
676,1,0,0,0,0
677,0,0,1,0,0
678,1,0,0,0,0
679,1,0,0,0,0
680,1,0,0,0,0
681,1,0,0,0,0
682,1,0,0,0,0
669,1,0,0,0,0
684,0,1,0,0,0
685,1,0,0,0,0
686,0,0,1,0,0
687,1,0,0,0,0
688,1,0,0,0,0
689,1,0,0,0,0
690,1,0,0,0,0
691,0,0,1,0,0
692,1,0,0,0,0
693,1,0,0,0,0
694,1,0,0,0,0
695,1,0,0,0,0
696,1,0,0,0,0
683,1,0,0,0,0
646,0,0,1,0,0
698,1,0,0,0,0
697,0,1,0,0,0
699,0,0,1,0,0
700,1,0,0,0,0
701,1,0,0,0,0
702,0,1,0,0,0
703,1,0,0,0,0
641,0,0,1,0,0
705,1,0,0,0,0
706,0,0,1,0,0
708,1,0,0,0,1
707,1,0,0,0,0
704,0,0,1,0,0
709,0,1,0,0,0
710,0,1,0,0,0
711,0,0,1,0,0
712,0,0,1,0,0
714,0,1,0,0,0
717,1,0,0,0,0
718,1,0,0,0,0
719,1,0,0,0,0
720,0,0,1,0,0
721,1,0,0,0,0
722,0,1,0,0,0
723,1,0,0,0,0
724,1,0,0,0,0
725,1,0,0,0,0
726,1,0,0,0,0
727,0,0,1,0,0
640,0,0,1,0,0
728,1,0,0,0,0
730,1,0,0,0,1
729,1,0,0,0,0
715,0,0,1,0,0
731,1,0,0,0,0
732,1,0,0,0,0
733,0,1,0,0,0
734,1,0,0,0,0
735,0,1,0,0,0
736,1,0,0,0,0
737,0,1,0,0,0
738,1,0,0,0,0
673,0,1,0,0,0
716,1,0,0,0,0
739,1,0,0,0,0
740,0,1,0,0,0
741,1,0,0,0,0
742,0,1,0,0,0
743,0,0,1,0,0
744,1,0,0,0,0
745,0,0,1,0,0
746,0,1,0,0,0
747,0,1,0,0,0
748,0,0,1,0,0
749,1,0,0,0,0
750,0,1,0,0,0
751,1,0,0,0,0
576,1,0,0,0,0
752,1,0,0,0,0
753,0,1,0,0,0
754,1,0,0,0,0
755,1,0,0,0,0
756,0,1,0,0,0
757,1,0,0,0,0
758,1,0,0,0,0
759,1,0,0,0,0
761,0,1,0,0,0
763,1,0,0,0,0
657,0,1,0,0,0
764,1,0,0,0,0
765,0,0,1,0,0
766,0,0,1,0,0
767,0,1,0,0,0
768,1,0,0,0,0
769,0,1,0,0,0
770,1,0,0,0,0
772,0,0,1,0,0
773,0,1,0,0,0
774,0,1,0,0,0
775,0,0,1,0,0
776,1,0,0,0,0
777,1,0,0,0,0
760,1,0,0,0,0
778,0,0,1,0,0
779,0,1,0,0,1
780,1,0,0,0,0
781,1,0,0,0,0
782,1,0,0,0,0
783,1,0,0,0,0
784,0,1,0,0,0
785,0,1,0,0,0
786,1,0,0,0,0
787,0,0,1,1,1
788,1,0,0,0,0
789,1,0,0,0,0
790,1,0,0,0,0
791,1,0,0,0,0
792,1,0,0,0,0
793,0,1,0,0,0
794,0,1,0,0,0
795,0,1,0,0,0
796,0,1,0,0,0
797,0,0,1,0,0
798,1,0,0,0,0
799,0,0,1,0,0
800,0,0,1,0,0
801,1,0,0,0,0
802,1,0,0,0,0
803,1,0,0,0,0
804,1,0,0,0,0
805,0,1,0,0,0
806,0,1,0,0,0
808,0,1,0,0,0
762,1,0,0,0,0
809,1,0,0,0,0
810,0,0,1,0,0
811,1,0,0,0,0
812,1,0,0,0,0
813,0,1,0,0,0
814,1,0,0,0,0
815,1,0,0,0,0
816,1,0,0,0,0
817,0,1,0,0,0
818,1,0,0,0,0
819,1,0,0,0,0
820,1,0,0,0,0
821,1,0,0,0,0
823,1,0,0,0,0
9,1,0,0,0,0
824,0,0,1,0,0
826,1,0,0,0,0
827,1,0,0,0,0
828,0,0,1,0,0
829,1,0,0,0,0
830,0,0,1,0,0
831,1,0,0,0,0
833,1,0,0,0,0
834,1,0,0,0,0
835,1,0,0,0,0
836,1,0,0,0,0
837,0,1,0,0,0
838,1,0,0,0,0
839,0,0,1,0,0
840,1,0,0,0,0
832,1,0,0,1,1
841,1,0,0,0,0
842,1,0,0,0,0
843,1,0,0,0,0
844,1,0,0,0,0
845,1,0,0,0,0
846,1,0,0,0,0
847,0,0,1,0,0
848,1,0,0,0,0
849,0,1,0,0,0
850,1,0,0,0,0
851,1,0,0,0,0
852,1,0,0,0,0
853,0,1,0,0,0
854,0,0,1,0,0
855,0,0,1,0,0
856,1,0,0,0,1
857,1,0,0,0,0
858,1,0,0,0,0
859,1,0,0,0,0
860,0,1,0,0,0
861,1,0,0,0,0
862,1,0,0,0,0
863,1,0,0,0,0
864,1,0,0,0,0
771,0,1,0,0,0
865,1,0,0,0,0
866,0,0,1,0,0
867,1,0,0,0,0
868,1,0,0,0,0
869,1,0,0,0,0
870,0,0,1,0,0
871,1,0,0,0,0
872,0,1,0,0,0
873,1,0,0,0,0
874,0,1,0,0,0
875,1,0,0,0,0
876,0,1,0,0,0
877,0,1,0,0,0
878,1,0,0,0,0
879,0,0,1,0,0
880,1,0,0,0,0
883,0,1,0,0,0
882,1,0,0,0,0
884,1,0,0,0,0
886,1,0,0,0,0
887,1,0,0,0,0
888,0,0,1,0,0
890,1,0,0,0,0
891,0,0,1,0,0
892,0,1,0,0,0
893,0,1,0,0,0
822,0,1,0,0,0
894,1,0,0,0,0
895,0,0,1,0,0
896,1,0,0,0,0
897,1,0,0,0,0
898,0,0,1,0,0
899,1,0,0,0,0
900,1,0,0,0,0
901,0,1,0,0,0
902,0,1,0,0,0
903,0,0,1,0,0
904,1,0,0,0,0
906,0,1,0,1,1
907,1,0,0,0,0
908,0,0,1,0,1
910,1,0,0,0,0
911,1,0,0,0,0
912,0,0,1,0,0
913,1,0,0,0,0
909,1,0,0,0,0
914,1,0,0,0,0
915,1,0,0,0,0
916,1,0,0,0,0
917,1,0,0,0,0
918,0,0,1,0,0
919,1,0,0,0,0
920,1,0,0,0,0
921,1,0,0,0,0
922,1,0,0,0,0
924,0,0,1,0,0
925,0,0,1,0,0
926,1,0,0,0,0
927,1,0,0,0,0
928,0,0,1,0,0
929,1,0,0,0,0
930,0,0,1,0,0
931,1,0,0,0,0
933,0,1,0,0,0
934,1,0,0,0,0
936,0,1,0,0,0
937,1,0,0,0,0
885,1,0,0,0,0
938,1,0,0,0,0
923,1,0,0,0,0
939,1,0,0,0,0
940,1,0,0,0,0
942,1,0,0,0,0
943,1,0,0,0,0
944,0,1,0,0,0
946,1,0,0,0,0
947,1,0,0,0,0
889,0,1,0,0,0
941,1,0,0,0,0
948,1,0,0,0,0
949,1,0,0,0,0
950,0,1,0,0,0
951,1,0,0,0,0
952,1,0,0,0,0
954,1,0,0,0,0
932,0,0,1,0,0
955,1,0,0,0,0
956,1,0,0,0,0
957,0,0,1,0,0
959,1,0,0,0,0
960,1,0,0,0,0
961,1,0,0,0,0
963,1,0,0,0,0
964,0,0,1,0,0
966,1,0,0,0,0
967,1,0,0,0,0
968,1,0,0,0,0
935,0,1,0,0,0
965,1,0,0,0,0
969,1,0,0,0,0
825,0,0,1,0,0
970,1,0,0,0,0
971,1,0,0,0,0
972,0,0,1,0,0
973,1,0,0,0,0
974,0,0,1,0,0
975,1,0,0,0,0
976,1,0,0,0,0
977,1,0,0,0,0
953,0,1,0,0,0
978,1,0,0,0,0
979,0,1,0,0,0
980,1,0,0,0,0
981,1,0,0,0,0
982,0,0,1,0,0
983,0,1,0,0,0
984,1,0,0,0,0
985,0,0,1,0,0
986,0,1,0,0,0
987,1,0,0,0,0
988,1,0,0,0,0
989,0,0,1,0,0
990,0,0,1,0,0
991,1,0,0,0,0
993,0,1,0,0,0
994,1,0,0,0,0
995,1,0,0,0,0
905,0,0,1,1,1
996,1,0,0,0,0
997,1,0,0,0,0
999,0,1,0,0,0
1000,0,1,0,0,0
1001,0,1,0,0,0
1002,1,0,0,0,0
1003,0,0,1,0,0
1004,0,1,0,0,0
998,1,0,0,0,0
1006,1,0,0,0,0
1007,1,0,0,0,0
1008,1,0,0,0,0
1009,1,0,0,0,0
1010,0,0,1,0,0
1011,1,0,0,0,0
1012,1,0,0,0,0
1013,0,0,1,0,0
1015,0,0,1,0,0
1016,0,1,0,0,0
1017,1,0,0,0,0
807,1,0,0,0,0
1018,1,0,0,0,1
1019,1,0,0,0,0
1020,1,0,0,0,0
1021,0,1,0,0,0
1022,1,0,0,0,0
1023,1,0,0,0,0
1024,0,1,0,0,0
1025,1,0,0,0,0
1026,1,0,0,0,0
1027,1,0,0,0,0
1028,1,0,0,0,0
1029,0,0,1,0,0
1030,1,0,0,0,0
1031,0,1,0,0,0
1032,0,0,1,0,0
1033,1,0,0,0,0
1034,0,1,0,0,0
1035,1,0,0,0,0
1036,0,1,0,0,0
1037,0,0,1,0,0
1038,1,0,0,0,0
1039,0,0,1,0,0
1005,1,0,0,0,0
1040,1,0,0,0,0
1041,1,0,0,0,0
1042,1,0,0,0,0
962,1,0,0,0,0
1044,1,0,0,0,0
1045,1,0,0,0,0
1046,1,0,0,0,1
1047,0,1,0,0,0
1048,1,0,0,0,0
1049,1,0,0,0,0
1050,0,0,1,0,0
1051,1,0,0,0,0
1052,0,1,0,0,0
1053,1,0,0,0,1
1054,1,0,0,0,0
1055,1,0,0,0,0
1056,1,0,0,0,0
1057,1,0,0,0,0
1014,1,0,0,0,0
1043,0,1,0,0,0
1058,1,0,0,0,0
1059,0,0,1,0,0
1060,1,0,0,0,0
1061,1,0,0,0,0
1062,0,1,0,0,0
1063,0,0,1,0,0
958,1,0,0,0,0
1065,1,0,0,0,0
1066,0,0,1,0,0
992,1,0,0,0,0
1068,0,0,1,0,0
1069,0,0,1,0,0
1070,1,0,0,0,0
1071,1,0,0,0,0
1073,0,0,1,0,0
1074,1,0,0,0,0
1075,0,0,1,0,0
1076,1,0,0,0,0
1077,1,0,0,0,0
1078,1,0,0,0,0
1079,0,1,0,0,0
1080,1,0,0,0,0
1081,1,0,0,0,0
1082,1,0,0,0,0
1083,0,0,1,0,0
1084,1,0,0,0,0
1085,1,0,0,0,0
1086,1,0,0,0,0
1087,0,0,1,0,0
1088,0,1,0,0,0
1089,1,0,0,0,0
1072,0,1,0,0,0
1090,0,1,0,0,0
1091,0,0,1,0,0
1092,1,0,0,0,0
1093,1,0,0,0,0
1094,1,0,0,0,0
1095,1,0,0,0,0
1096,1,0,0,0,0
1097,1,0,0,0,0
1100,0,0,1,0,0
1098,0,0,1,0,1
881,1,0,0,0,0
1099,1,0,0,0,0
1101,0,1,0,0,0
1102,0,1,0,0,0
1103,1,0,0,0,0
1104,0,0,1,0,0
1105,1,0,0,0,0
1106,1,0,0,0,0
1107,1,0,0,0,0
1108,1,0,0,0,0
461,1,0,0,0,0
1109,1,0,0,0,0
1110,1,0,0,0,0
1111,1,0,0,0,0
1112,0,0,1,0,0
1113,1,0,0,0,0
1114,1,0,0,0,0
1116,1,0,0,0,0
1117,0,0,1,0,0
1118,0,1,0,0,0
1119,1,0,0,0,0
1120,0,0,1,0,0
1121,1,0,0,0,0
1122,0,0,1,0,0
1123,0,0,1,0,0
1124,0,1,0,0,0
1125,1,0,0,0,0
1126,0,1,0,0,0
1127,0,0,1,0,0
1128,0,0,1,0,0
1129,1,0,0,0,0
1130,1,0,0,0,0
1132,0,0,1,0,0
1133,0,0,1,0,0
1134,1,0,0,0,0
1136,1,0,0,0,0
1137,0,1,0,0,0
1138,0,0,1,0,0
1139,1,0,0,0,0
1140,1,0,0,0,0
1141,0,1,0,0,0
1142,1,0,0,0,0
1143,1,0,0,0,0
1144,0,1,0,0,0
1145,1,0,0,0,0
1146,1,0,0,0,0
1147,1,0,0,0,0
1135,1,0,0,0,0
1148,1,0,0,0,0
1149,0,1,0,0,0
1150,0,1,0,0,0
1151,0,0,1,0,0
1152,1,0,0,0,0
1067,1,0,0,0,0
1153,1,0,0,0,0
945,1,0,0,0,0
1154,1,0,0,0,0
1155,0,1,0,0,0
1156,1,0,0,0,0
1157,1,0,0,0,0
1158,1,0,0,0,0
1159,1,0,0,0,0
1160,1,0,0,0,0
1161,1,0,0,0,0
1162,1,0,0,0,0
1163,1,0,0,0,0
1164,0,0,1,0,0
1165,1,0,0,0,0
1166,1,0,0,0,0
1167,1,0,0,0,0
1168,1,0,0,0,0
1170,0,0,1,0,0
1171,1,0,0,0,0
1172,1,0,0,0,0
1173,0,1,0,0,0
1174,1,0,0,0,1
1175,1,0,0,0,0
1176,1,0,0,0,0
1177,0,1,0,0,0
1178,1,0,0,0,0
1179,0,1,0,0,0
1180,1,0,0,0,0
1181,1,0,0,0,0
1182,0,1,0,0,0
1169,0,0,1,0,0
1184,1,0,0,0,0
1185,1,0,0,0,1
1186,1,0,0,0,0
1187,0,1,0,0,0
1188,1,0,0,0,0
1189,0,0,1,0,0
1190,0,0,1,0,0
1191,0,1,0,0,0
1192,1,0,0,0,0
